,0,1,2,3,4,5
MSE,11.095037243488752,0.3168157515245549,0.008336454017955677,6.453592306937232,85.56063219167856,7.43441522637098
RMSE,3.3309213805625544,0.562863883656213,0.09130418401122523,2.540392156132047,9.249899036837027,2.72661240853389
R^2,-39.4203318652323,0.4994377145523756,-31.65107599992676,0.20615677850415848,0.7195463718754544,0.24671312620742114
MAE,2.946932908255276,0.516166501972437,0.07583207116519626,2.06489955770319,7.217915763002551,2.184909748514817
MedAE,3.1849331042727798,0.5418850423516194,0.068752189632038,1.9163317460620526,4.809999657107774,1.7940327103236475
MaxErr,5.2590830300138975,0.815247761013913,0.1448739871871748,5.578588769318035,20.362671526252626,5.983862274576417
