Date Time,Water Level
2020-01-06 03:00:00,0.045255594453247075
2020-01-06 04:00:00,0.0942500296128082
2020-01-06 05:00:00,-0.10242299629296575
2020-01-06 06:00:00,-0.0428201176457489
2020-01-06 07:00:00,-0.055107226166982964
2020-01-06 08:00:00,-0.052715402578021986
2020-01-06 09:00:00,-0.14827932389415033
2020-01-06 10:00:00,-0.18545147274887033
2020-01-06 11:00:00,-0.22511513707209918
2020-01-06 12:00:00,-0.1893976828006025
2020-01-06 13:00:00,-0.16865695169406555
2020-01-06 14:00:00,-0.1699398647122958
2020-01-06 15:00:00,-0.14574663807776012
2020-01-06 16:00:00,-0.10676573657154452
2020-01-06 17:00:00,0.015704798301704556
2020-01-06 18:00:00,0.12227004874591108
2020-01-06 19:00:00,0.11334677836788942
2020-01-06 20:00:00,0.060785360048151105
2020-01-06 21:00:00,0.0720948500122288
2020-01-06 22:00:00,0.023354994860940528
2020-01-06 23:00:00,-0.04710689030097859
2020-01-07 00:00:00,-0.08175803432394443
2020-01-07 01:00:00,-0.1157589310841951
2020-01-07 02:00:00,-0.18467624904994956
2020-01-07 03:00:00,-0.16306398465108246
2020-01-07 04:00:00,-0.17835506671610946
2020-01-07 05:00:00,-0.15079903086710458
2020-01-07 06:00:00,-0.3935944857599831
2020-01-07 07:00:00,-0.3313222696057587
2020-01-07 08:00:00,-0.3476651319318635
2020-01-07 09:00:00,-0.38051750474876445
2020-01-07 10:00:00,-0.45245311267826577
2020-01-07 11:00:00,-0.4684299342702015
2020-01-07 12:00:00,-0.4859796646505181
2020-01-07 13:00:00,-0.4766181007137628
2020-01-07 14:00:00,-0.4409065641822052
2020-01-07 15:00:00,-0.39464575199555063
2020-01-07 16:00:00,-0.3408759961765889
2020-01-07 17:00:00,-0.3272263822229172
2020-01-07 18:00:00,-0.2151639874155068
2020-01-07 19:00:00,-0.1114358253176588
2020-01-07 20:00:00,-0.10545043514356184
2020-01-07 21:00:00,-0.16054652078031875
2020-01-07 22:00:00,-0.18450649325433038
2020-01-07 23:00:00,-0.23170665980391508
2020-01-08 00:00:00,-0.31550431021318043
2020-01-08 01:00:00,-0.35691580878996915
2020-01-08 02:00:00,-0.40254558789693745
2020-01-08 03:00:00,-0.47740337944194383
2020-01-08 04:00:00,-0.500803153738338
2020-01-08 05:00:00,-0.5043755548978212
2020-01-08 06:00:00,-0.47799954611299866
